"GameID","Age","HoursPerWeek","TotalHours","APM","SelectByHotkeys","AssignToHotkeys","UniqueHotkeys","MinimapAttacks","MinimapRightClicks","NumberOfPACs","GapBetweenPACs","ActionLatency","ActionsInPAC","TotalMapExplored","WorkersMade","UniqueUnitsMade","ComplexUnitsMade","ComplexAbilitiesUsed"
10022,NULL,NULL,NULL,210.5088,0.007973528,0.000867121,"6.98e-05",0.00054818,0.000637882,0.006518359,15.7856,30.7156,4.8058,0.000338875,0.00081729,"5.98e-05",0,0
7287,26,36,1100,157.7322,0.00638783,0.000445118,"4.69e-05",0.000288936,0.000249891,0.005692822,28.3187,40.4829,4.0384,0.000296745,0.0014369,"7.81e-05",0.0001718,"7.03e-05"
7332,22,12,360,97.3206,0.003564843,0.00051219,"6.15e-05",0,0.000133169,0.004384347,42.0328,54.8411,3.4182,0.000286826,0.0012497,"9.22e-05",0.000266339,0.00027658
2610,23,12,450,142.5444,0.004042897,0.000234062,0.00012767,"6.38e-05",0.001361818,0.002766193,33.0233,54.2462,8.2462,0.00040429,0.00070219,0.000106392,0,0
2590,35,4,150,47.6058,0.000516085,0.000215035,"4.30e-05",0,0,0.002515913,69.5172,67.0769,3.4103,0.000344056,0.0010107,0.000129021,0,0
160,19,6,150,64.6416,0.000672344,0.000336172,"7.00e-06",0.000154079,0.000203104,0.002759413,53.5776,78.2944,4.2284,0.000287147,0.00063733,"4.20e-05","7.00e-05","6.30e-05"
799,17,20,500,61.8882,0.00160273,0.00018957,"4.31e-05",0.000112019,"8.62e-05",0.002421328,50.3,91.1032,4.2206,0.000198187,0.00074105,"6.03e-05",0,0
1210,27,6,350,80.334,0.001619559,0.000210765,"4.44e-05",0,0.000443715,0.003571904,36.2368,64.2112,3.8478,0.000343879,0.00085415,"8.87e-05","4.44e-05",0.00018858
836,23,14,800,104.3874,0.003167652,0.000308261,"7.44e-05",0.000116927,0.000520855,0.003040095,33.4737,65.4965,5.8042,0.000329521,0.0014988,"8.50e-05",0.000308261,0.00021259
1249,17,20,800,138.2802,0.003756308,0.00029767,"4.25e-05",0,0.000581165,0.004975336,28.5486,37.151,4.4017,0.000326019,0.0010631,"7.09e-05",0,0.00019845
3125,21,8,400,157.6344,0.008552172,0.000698137,0.000120831,"1.34e-05",0.000577305,0.004658719,22.4855,48.5764,4.513,0.000335643,0.00071156,"8.06e-05",0,0
4777,24,6,20,43.1352,0.000242332,"6.06e-05","2.60e-05",0,0.000112511,0.002925293,79.3709,67.0059,2.716,0.000285605,0.0005539,"6.92e-05","5.19e-05","1.73e-05"
10039,23,40,800,192.4554,0.014276847,0.000465549,0.000155183,0,0.001590627,0.003142458,29.75,35.7531,7.1975,0.000426754,0.0012803,0.000116387,0,0
10041,NULL,NULL,NULL,315.6936,0.028311412,0.001159745,0.000136441,0.001241609,0.000627626,0.005075588,17.7035,32.6344,6.2231,0.000327457,0.00079136,"8.19e-05",0,0.00015008
