GameID,class,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
8417,1,22,28,900,70.5282,0.000368,0.000059,1,0,0.000036,0.003779,49.5268,59.3459,3.478,44,0.001046,5,0,0.000012
981,5,22,20,1260,132.1734,0.005944,0.00045,10,0.000428,0.00121,0.003481,44.3333,57.7723,6.12,25,0.000942,9,0.000139,0.000493
6752,5,16,28,1000,247.8714,0.018452,0.000458,2,0.000013,0.000178,0.004629,28.3196,39.8022,6.1538,36,0.001323,7,0,0
1982,2,25,8,30,57.2274,0.000888,0.000072,3,0,0.000473,0.001948,94.4889,92.1765,5.1838,17,0.000903,6,0,0
7976,1,21,24,150,100.7034,0.001683,0.000346,5,0.000008,0.000305,0.003877,33.9957,56.6894,4.5702,47,0.000883,8,0.000033,0.000008
1238,3,33,6,365,51.1932,0.000259,0.000046,2,0.000107,0.000168,0.002289,62.8993,96.5333,4.2067,13,0.000961,4,0,0
8760,7,23,6,1500,212.148,0.014708,0.000916,10,0.000458,0.000555,0.004187,27.7385,42.7716,6.0269,25,0.000683,4,0,0
9063,4,20,28,740,102.8022,0,0.000075,2,0.000038,0.001126,0.002814,19.9459,47.7867,6.92,14,0.000525,3,0,0
9081,5,19,16,700,90.8406,0.001562,0.000205,3,0.00011,0.000174,0.002714,49.5673,61.5116,5.8023,18,0.001105,6,0,0
6708,4,18,12,300,107.7774,0.001428,0.000207,6,0.000207,0.000436,0.0041,30.1973,54.8298,4.6117,27,0.000861,7,0.000076,0.000098
4555,7,19,28,500,201.2946,0.011939,0.000665,9,0.000726,0.000357,0.005059,19.2195,37.7324,5.1436,31,0.001009,6,0,0
10017,8,NULL,NULL,NULL,245.8188,0.010471,0.000841,10,0.000657,0.001314,0.005031,14.5518,36.7134,7.1943,33,0.001474,11,0.00004,0.000048
5831,3,17,28,200,91.6326,0.003639,0.000092,2,0.000198,0.000099,0.00325,41.6,66.9953,4.3216,23,0.000649,6,0,0
542,4,19,8,480,156.2238,0.006424,0.000734,7,0.000179,0.000554,0.004647,25.0423,40.3088,5.1193,29,0.001565,7,0.000293,0.000587
4176,3,16,4,350,83.5818,0.001257,0.00039,4,0.000022,0.000542,0.002362,30.5926,74.2752,6.2385,16,0.000433,3,0,0
5071,5,20,20,500,118.4664,0.001661,0.000286,7,0,0.001031,0.003235,37.9053,53.4985,6.5811,23,0.000554,4,0,0.000019
7805,4,25,2,400,82.203,0.001507,0.000305,4,0.000054,0.000987,0.002656,50.449,64.1351,5.3311,30,0.001202,5,0,0
9243,2,31,12,60,95.5152,0.002114,0.000278,6,0.000041,0.001861,0.002065,29.6667,87.4466,8.4704,22,0.0008,8,0,0
8760,7,23,6,1500,212.148,0.014708,0.000916,10,0.000458,0.000555,0.004187,27.7385,42.7716,6.0269,25,0.000683,4,0,0
10046,8,NULL,NULL,NULL,334.524,0.017742,0.001548,6,0.000384,0.004041,0.00778,13.5401,28.2243,5.6862,29,0.002161,9,0.000145,0.000073
312,5,17,28,730,116.2062,0.004316,0.000342,5,0.000092,0.000263,0.0035,41.4792,59.1429,5.2368,29,0.001211,5,0.000171,0.000171
